city_id,ward_id,ward_number,ward_name,zone_name,locality_name,place_type,osm_type,osm_id,lat,lng,source_name,source_url,is_verified,notes
chennai,ward-029,29,Ward 29,Zone Madhavaram,CMWSSB Division 29,neighbourhood,way,964273523,13.1546475,80.2619150,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273523,false,
chennai,ward-030,30,Ward 30,Zone Madhavaram,CMWSSB Division 30,neighbourhood,way,964273522,13.1467355,80.2353355,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273522,false,
chennai,ward-031,31,Ward 31,Zone Madhavaram,CMWSSB Division 31,neighbourhood,way,964273521,13.1381500,80.2332855,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273521,false,
chennai,ward-031,31,Ward 31,Zone Madhavaram,Madhavaram,suburb,node,321661517,13.1429313,80.2325166,OpenStreetMap Overpass,https://www.openstreetmap.org/node/321661517,false,
chennai,ward-032,32,Ward 32,Zone Madhavaram,CMWSSB Division 32,neighbourhood,way,964273520,13.1323855,80.2073985,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273520,false,
chennai,ward-033,33,Ward 33,Zone Madhavaram,CMWSSB Division 33,neighbourhood,way,964273519,13.1321305,80.2314360,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273519,false,
chennai,ward-034,34,Ward 34,Zone Tondiarpet,Chinna Kodungaiyur,suburb,node,290235046,13.1438219,80.2501492,OpenStreetMap Overpass,https://www.openstreetmap.org/node/290235046,false,
chennai,ward-034,34,Ward 34,Zone Tondiarpet,CMWSSB Division 34,neighbourhood,way,964273518,13.1388565,80.2497350,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273518,false,
chennai,ward-035,35,Ward 35,Zone Tondiarpet,CMWSSB Division 35,neighbourhood,way,964273517,13.1302080,80.2501760,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273517,false,
chennai,ward-035,35,Ward 35,Zone Tondiarpet,Kodungaiyur,suburb,node,282003246,13.1327533,80.2444773,OpenStreetMap Overpass,https://www.openstreetmap.org/node/282003246,false,
chennai,ward-036,36,Ward 36,Zone Tondiarpet,CMWSSB Division 36,neighbourhood,way,964273516,13.1240000,80.2539295,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273516,false,
chennai,ward-037,37,Ward 37,Zone Tondiarpet,CMWSSB Division 37,neighbourhood,way,964273515,13.1319530,80.2683100,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273515,false,
chennai,ward-038,38,Ward 38,Zone Tondiarpet,CMWSSB Division 38,neighbourhood,way,964273514,13.1330631,80.2816885,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273514,false,
chennai,ward-038,38,Ward 38,Zone Tondiarpet,CMWSSB Division 42,neighbourhood,way,964273510,13.1295114,80.2846044,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273510,false,
chennai,ward-039,39,Ward 39,Zone Tondiarpet,Cherian Nagar,neighbourhood,node,289968698,13.1384150,80.2971562,OpenStreetMap Overpass,https://www.openstreetmap.org/node/289968698,false,
chennai,ward-039,39,Ward 39,Zone Tondiarpet,CMWSSB Division 39,neighbourhood,way,964273513,13.1384795,80.2936755,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273513,false,
chennai,ward-039,39,Ward 39,Zone Tondiarpet,Tollgate,neighbourhood,node,289687358,13.1429527,80.2955738,OpenStreetMap Overpass,https://www.openstreetmap.org/node/289687358,false,
chennai,ward-040,40,Ward 40,Zone Tondiarpet,CMWSSB Division 40,neighbourhood,way,964273512,13.1363065,80.2895670,OpenStreetMap Overpass,https://www.openstreetmap.org/way/964273512,false,
